case_type,system,population,fragrantica_id,brand,name,family_9,family_this,mass_ratio,top_accords
assignment_change,7,korea200,56741,Ariana Grande,"Thank U, Next",GOURMAND,FRUITY,0.2088,sweet:100|coconut:50|fruity:41|vanilla:30|rose:21
assignment_change,7,korea200,131717,Diptyque,Fleur de Peau,MUSK,FLORAL,0.4877,musky:100|powdery:91|aldehydic:52|iris:52|woody:45
assignment_change,7,korea200,39970,Ariana Grande,Sweet Like Candy,GOURMAND,FRUITY,0.3374,sweet:100|fruity:67|vanilla:60|powdery:33|lactonic:23
assignment_change,7,korea200,31661,Ariana Grande,Ari,GOURMAND,FRUITY,0.4158,sweet:100|fruity:64|powdery:42|citrus:23|rose:18
assignment_change,7,korea200,48478,Lanvin,Modern Princess Eau Sensuelle,MUSK,FLORAL,0.556,citrus:100|powdery:59|fruity:57|musky:52|floral:52
assignment_change,7,korea200,12310,Jo Malone London,Wild Bluebell,MUSK,GREEN,0.4805,powdery:100|musky:98|green:95|aquatic:82|sweet:54
assignment_change,7,korea200,50384,Ariana Grande,Cloud,GOURMAND,GREEN,0.0629,sweet:100|lactonic:49|vanilla:43|coconut:34|musky:24
assignment_change,7,korea200,108962,Tamburins,Pumkini,GOURMAND,GREEN,0.7034,fresh spicy:100|coconut:90|aromatic:87|sweet:77|green:71
assignment_change,7,korea200,23032,Clean,Cool Cotton,MUSK,GREEN,0.6893,powdery:100|citrus:89|green:54|aromatic:51|floral:44
assignment_change,7,korea200,12426,Prada,Prada Candy,GOURMAND,AMBER,0.2451,caramel:100|powdery:73|amber:51|sweet:50|vanilla:49
assignment_change,7,korea200,3865,Diptyque,Philosykos Eau de Parfum,GOURMAND,GREEN,0.5984,green:100|woody:75|sweet:45|fresh:40|fruity:35
assignment_change,7,korea200,2186,Montale,Chocolate Greedy,GOURMAND,AMBER,0.303,vanilla:100|cacao:90|warm spicy:77|sweet:59|citrus:32
assignment_change,7,korea200,39181,Mancera,Aoud Lemon Mint,GOURMAND,WOODY,0.6793,citrus:100|aromatic:82|oud:80|almond:75|fresh spicy:52
assignment_change,7,korea200,37603,Nishane,Fan Your Flames,GOURMAND,AMBER,0.4878,sweet:100|coconut:84|woody:80|tobacco:78|rum:64
assignment_change,7,korea200,93865,SW19,Midnight,MUSK,FLORAL,0.4032,powdery:100|musky:58|white floral:45|floral:33|fresh:27
assignment_change,7,korea200,50790,Essential Parfums,The Musc,MUSK,AMBER,0.4282,musky:100|powdery:69|lavender:53|beeswax:51|woody:45
assignment_change,7,korea200,59392,Banana Republic,Dark Cherry & Amber,GOURMAND,FRUITY,0.6395,sweet:100|floral:97|cherry:74|amber:69|nutty:48
assignment_change,7,korea200,122211,Narciso Rodriguez,Pure Musc Blanc For Her,MUSK,FLORAL,0.3947,white floral:100|fresh:82|musky:76|aldehydic:60|powdery:56
assignment_change,7,korea200,109565,Sennok,Soap Clean Soap,MUSK,FLORAL,0.3883,aldehydic:100|musky:100|fresh:62|powdery:60|soapy:30
assignment_change,7,korea200,42782,Mancera,Coco Vanille,GOURMAND,FLORAL,0.2961,vanilla:100|sweet:85|coconut:77|white floral:73|powdery:37
assignment_change,7,korea200,122669,Coach,Coach Cherry,GOURMAND,FLORAL,0.6953,sweet:100|cherry:95|white floral:84|vanilla:70|floral:70
assignment_change,7,korea200,76824,Sabrina Carpenter,Sweet Tooth,GOURMAND,AMBER,0.0652,sweet:100|vanilla:63|powdery:35|musky:18|lactonic:18
assignment_change,7,korea200,129391,Calvin Klein,CK One Night Essence,MUSK,GREEN,0.6888,powdery:100|woody:75|iris:67|green:62|musky:59
assignment_change,7,korea200,95035,Youssoful,Berry Sexy,GOURMAND,FRUITY,0.3883,fruity:100|sweet:80|vanilla:72|fresh:33|green:26
assignment_change,7,korea200,75969,Jimmy Choo,I Want Choo Forever,GOURMAND,FRUITY,0.3973,vanilla:100|sweet:86|almond:70|cherry:65|amber:54
assignment_change,7,korea200,64093,Nishane,Nanshe,MUSK,FLORAL,0.5919,powdery:100|floral:41|woody:36|warm spicy:35|musky:31
assignment_change,7,korea200,95156,Jimmy Choo,I Want Choo Le Parfum,GOURMAND,WOODY,0.7036,sweet:100|fruity:92|white floral:60|woody:59|patchouli:39
assignment_change,7,korea200,57384,Montale,Arabians Tonka,GOURMAND,AMBER,0.5112,sweet:100|vanilla:84|amber:80|oud:61|warm spicy:60
assignment_change,7,korea200,39761,Lush,29 High Street,GOURMAND,FRUITY,0.392,sweet:100|fruity:54|honey:35|green:30|caramel:13
assignment_change,7,korea200,89712,Jaguar,Jaguar Era Reloaded,GOURMAND,AMBER,0.6373,woody:100|amber:98|sweet:93|citrus:75|vanilla:60
assignment_change,7,korea200,124051,Postes,From.Saint-Tropez,MUSK,CITRUS,0.3639,musky:100|powdery:83|citrus:50|sweet:38|yellow floral:36
assignment_change,7,korea200,46300,Mancera,Musky Garden,MUSK,FRUITY,0.5967,fruity:100|musky:55|powdery:50|rose:47|sweet:43
assignment_change,7,korea200,104123,Clean,Strawberry Fields,MUSK,FRUITY,0.5645,fruity:100|sweet:88|musky:79|white floral:63|woody:40
assignment_change,7,korea200,114281,Tenui,Bare,MUSK,WOODY,0.6874,woody:100|aromatic:88|musky:63|white floral:63|fresh spicy:50
assignment_change,8A-A,korea200,65738,Diptyque,Orphéon Eau de Parfum,MUSK,WOODY,0.7691,powdery:100|woody:95|aromatic:91|fresh spicy:53|white floral:49
assignment_change,8A-A,korea200,10131,Le Labo,Another 13,MUSK,AMBER,0.9379,musky:100|amber:74|woody:51|animalic:29|fruity:24
assignment_change,8A-A,korea200,6188,Kiehl's,Original Musk,MUSK,AMBER,0.8791,musky:100|white floral:77|sweet:52|powdery:52|citrus:50
assignment_change,8A-A,korea200,68919,Dashu,Acqua Dive,MUSK,AMBER,0.9084,woody:100|floral:77|musky:77|aromatic:58|fruity:50
assignment_change,8A-A,korea200,131717,Diptyque,Fleur de Peau,MUSK,FLORAL,0.7114,musky:100|powdery:91|aldehydic:52|iris:52|woody:45
assignment_change,8A-A,korea200,48478,Lanvin,Modern Princess Eau Sensuelle,MUSK,FLORAL,0.7716,citrus:100|powdery:59|fruity:57|musky:52|floral:52
assignment_change,8A-A,korea200,12310,Jo Malone London,Wild Bluebell,MUSK,AMBER,0.8054,powdery:100|musky:98|green:95|aquatic:82|sweet:54
assignment_change,8A-A,korea200,23032,Clean,Cool Cotton,MUSK,GREEN,0.7812,powdery:100|citrus:89|green:54|aromatic:51|floral:44
assignment_change,8A-A,korea200,96192,Lalique,Soleil Lunar,FLORAL,AMBER,0.8755,floral:100|musky:93|citrus:64|white floral:63|powdery:61
assignment_change,8A-A,korea200,93865,SW19,Midnight,MUSK,FLORAL,0.5903,powdery:100|musky:58|white floral:45|floral:33|fresh:27
assignment_change,8A-A,korea200,50790,Essential Parfums,The Musc,MUSK,AMBER,0.8403,musky:100|powdery:69|lavender:53|beeswax:51|woody:45
assignment_change,8A-A,korea200,122211,Narciso Rodriguez,Pure Musc Blanc For Her,MUSK,FLORAL,0.6974,white floral:100|fresh:82|musky:76|aldehydic:60|powdery:56
assignment_change,8A-A,korea200,109565,Sennok,Soap Clean Soap,MUSK,FLORAL,0.6311,aldehydic:100|musky:100|fresh:62|powdery:60|soapy:30
assignment_change,8A-A,korea200,129391,Calvin Klein,CK One Night Essence,MUSK,GREEN,0.8043,powdery:100|woody:75|iris:67|green:62|musky:59
assignment_change,8A-A,korea200,64093,Nishane,Nanshe,MUSK,FLORAL,0.6885,powdery:100|floral:41|woody:36|warm spicy:35|musky:31
assignment_change,8A-A,korea200,31247,Narciso Rodriguez,Narciso Rodriguez for Him Bleu Noir,WOODY,AMBER,0.8979,woody:100|aromatic:69|warm spicy:68|musky:57|powdery:43
assignment_change,8A-A,korea200,815,Burberry,Touch for Men,AQUATIC,AMBER,0.903,fresh spicy:100|ozonic:83|musky:81|aquatic:61|woody:59
assignment_change,8A-A,korea200,124051,Postes,From.Saint-Tropez,MUSK,AMBER,0.7827,musky:100|powdery:83|citrus:50|sweet:38|yellow floral:36
assignment_change,8A-A,korea200,46300,Mancera,Musky Garden,MUSK,FRUITY,0.8638,fruity:100|musky:55|powdery:50|rose:47|sweet:43
assignment_change,8A-A,korea200,104123,Clean,Strawberry Fields,MUSK,FRUITY,0.9175,fruity:100|sweet:88|musky:79|white floral:63|woody:40
assignment_change,8A-A,korea200,114281,Tenui,Bare,MUSK,AMBER,0.9089,woody:100|aromatic:88|musky:63|white floral:63|fresh spicy:50
assignment_change,8B-A,korea200,15134,Jo Malone London,Blackberry & Bay,GREEN,AMBER,1.0,fruity:100|fresh spicy:90|aromatic:69|citrus:67|woody:56
assignment_change,8B-A,korea200,56741,Ariana Grande,"Thank U, Next",GOURMAND,AMBER,1.0,sweet:100|coconut:50|fruity:41|vanilla:30|rose:21
assignment_change,8B-A,korea200,607,Chanel,Allure Homme Sport,CITRUS,AMBER,0.9246,citrus:100|aromatic:55|vanilla:53|aldehydic:52|marine:46
assignment_change,8B-A,korea200,39970,Ariana Grande,Sweet Like Candy,GOURMAND,AMBER,1.0,sweet:100|fruity:67|vanilla:60|powdery:33|lactonic:23
assignment_change,8B-A,korea200,31661,Ariana Grande,Ari,GOURMAND,AMBER,0.9519,sweet:100|fruity:64|powdery:42|citrus:23|rose:18
assignment_change,8B-A,korea200,50384,Ariana Grande,Cloud,GOURMAND,AMBER,1.0,sweet:100|lactonic:49|vanilla:43|coconut:34|musky:24
assignment_change,8B-A,korea200,11784,Montblanc,Legend,GREEN,AMBER,1.0,fruity:100|sweet:88|aromatic:74|lavender:61|fresh spicy:57
assignment_change,8B-A,korea200,108962,Tamburins,Pumkini,GOURMAND,AMBER,1.0,fresh spicy:100|coconut:90|aromatic:87|sweet:77|green:71
assignment_change,8B-A,korea200,12426,Prada,Prada Candy,GOURMAND,AMBER,1.0,caramel:100|powdery:73|amber:51|sweet:50|vanilla:49
assignment_change,8B-A,korea200,3865,Diptyque,Philosykos Eau de Parfum,GOURMAND,AMBER,0.8907,green:100|woody:75|sweet:45|fresh:40|fruity:35
assignment_change,8B-A,korea200,2186,Montale,Chocolate Greedy,GOURMAND,AMBER,1.0,vanilla:100|cacao:90|warm spicy:77|sweet:59|citrus:32
assignment_change,8B-A,korea200,39181,Mancera,Aoud Lemon Mint,GOURMAND,AMBER,1.0,citrus:100|aromatic:82|oud:80|almond:75|fresh spicy:52
assignment_change,8B-A,korea200,37603,Nishane,Fan Your Flames,GOURMAND,AMBER,1.0,sweet:100|coconut:84|woody:80|tobacco:78|rum:64
assignment_change,8B-A,korea200,98468,Adidas,Spark Up,CITRUS,AMBER,1.0,citrus:100|fresh spicy:47|aromatic:39|sweet:28|soft spicy:28
assignment_change,8B-A,korea200,59392,Banana Republic,Dark Cherry & Amber,GOURMAND,AMBER,0.9409,sweet:100|floral:97|cherry:74|amber:69|nutty:48
assignment_change,8B-A,korea200,10728,Rance 1795,Helene,FLORAL,AMBER,1.0,powdery:100|white floral:93|warm spicy:84|vanilla:69|woody:65
assignment_change,8B-A,korea200,42782,Mancera,Coco Vanille,GOURMAND,AMBER,1.0,vanilla:100|sweet:85|coconut:77|white floral:73|powdery:37
assignment_change,8B-A,korea200,16657,Versace,Eros,GREEN,AMBER,1.0,vanilla:100|aromatic:91|green:84|fresh spicy:52|amber:46
assignment_change,8B-A,korea200,122669,Coach,Coach Cherry,GOURMAND,AMBER,1.0,sweet:100|cherry:95|white floral:84|vanilla:70|floral:70
assignment_change,8B-A,korea200,76824,Sabrina Carpenter,Sweet Tooth,GOURMAND,AMBER,1.0,sweet:100|vanilla:63|powdery:35|musky:18|lactonic:18
assignment_change,8B-A,korea200,64015,Jimmy Choo,I Want Choo,FLORAL,AMBER,1.0,white floral:100|vanilla:68|fruity:53|sweet:37|powdery:34
assignment_change,8B-A,korea200,95035,Youssoful,Berry Sexy,GOURMAND,AMBER,0.9078,fruity:100|sweet:80|vanilla:72|fresh:33|green:26
assignment_change,8B-A,korea200,75969,Jimmy Choo,I Want Choo Forever,GOURMAND,AMBER,1.0,vanilla:100|sweet:86|almond:70|cherry:65|amber:54
assignment_change,8B-A,korea200,95156,Jimmy Choo,I Want Choo Le Parfum,GOURMAND,AMBER,1.0,sweet:100|fruity:92|white floral:60|woody:59|patchouli:39
assignment_change,8B-A,korea200,111273,Chloé,Chloé Le Parfum,FLORAL,AMBER,1.0,vanilla:100|rose:81|white floral:73|sweet:56|citrus:41
assignment_change,8B-A,korea200,57384,Montale,Arabians Tonka,GOURMAND,AMBER,1.0,sweet:100|vanilla:84|amber:80|oud:61|warm spicy:60
assignment_change,8B-A,korea200,39761,Lush,29 High Street,GOURMAND,AMBER,1.0,sweet:100|fruity:54|honey:35|green:30|caramel:13
assignment_change,8B-A,korea200,52180,Versace,Eros Flame,CITRUS,AMBER,1.0,citrus:100|fresh spicy:59|vanilla:58|aromatic:57|woody:47
assignment_change,8B-A,korea200,89712,Jaguar,Jaguar Era Reloaded,GOURMAND,AMBER,1.0,woody:100|amber:98|sweet:93|citrus:75|vanilla:60
assignment_change,8B-A,korea200,114281,Tenui,Bare,MUSK,AMBER,1.0,woody:100|aromatic:88|musky:63|white floral:63|fresh spicy:50
assignment_change,7-A,korea200,65738,Diptyque,Orphéon Eau de Parfum,MUSK,AMBER,0.7691,powdery:100|woody:95|aromatic:91|fresh spicy:53|white floral:49
assignment_change,7-A,korea200,10131,Le Labo,Another 13,MUSK,AMBER,0.9379,musky:100|amber:74|woody:51|animalic:29|fruity:24
assignment_change,7-A,korea200,6188,Kiehl's,Original Musk,MUSK,AMBER,0.8791,musky:100|white floral:77|sweet:52|powdery:52|citrus:50
assignment_change,7-A,korea200,15134,Jo Malone London,Blackberry & Bay,GREEN,AMBER,1.0,fruity:100|fresh spicy:90|aromatic:69|citrus:67|woody:56
assignment_change,7-A,korea200,68919,Dashu,Acqua Dive,MUSK,AMBER,0.9084,woody:100|floral:77|musky:77|aromatic:58|fruity:50
assignment_change,7-A,korea200,56741,Ariana Grande,"Thank U, Next",GOURMAND,AMBER,1.0,sweet:100|coconut:50|fruity:41|vanilla:30|rose:21
assignment_change,7-A,korea200,131717,Diptyque,Fleur de Peau,MUSK,FLORAL,0.7114,musky:100|powdery:91|aldehydic:52|iris:52|woody:45
assignment_change,7-A,korea200,607,Chanel,Allure Homme Sport,CITRUS,AMBER,0.9246,citrus:100|aromatic:55|vanilla:53|aldehydic:52|marine:46
assignment_change,7-A,korea200,39970,Ariana Grande,Sweet Like Candy,GOURMAND,AMBER,0.8988,sweet:100|fruity:67|vanilla:60|powdery:33|lactonic:23
assignment_change,7-A,korea200,31661,Ariana Grande,Ari,GOURMAND,AMBER,0.8076,sweet:100|fruity:64|powdery:42|citrus:23|rose:18
assignment_change,7-A,korea200,48478,Lanvin,Modern Princess Eau Sensuelle,MUSK,FLORAL,0.7716,citrus:100|powdery:59|fruity:57|musky:52|floral:52
assignment_change,7-A,korea200,56077,Yves Saint Laurent,Libre,GREEN,AMBER,0.9229,white floral:100|citrus:73|lavender:65|vanilla:49|aromatic:39
assignment_change,7-A,korea200,12310,Jo Malone London,Wild Bluebell,MUSK,AMBER,0.8054,powdery:100|musky:98|green:95|aquatic:82|sweet:54
assignment_change,7-A,korea200,50384,Ariana Grande,Cloud,GOURMAND,AMBER,0.947,sweet:100|lactonic:49|vanilla:43|coconut:34|musky:24
assignment_change,7-A,korea200,11784,Montblanc,Legend,GREEN,AMBER,1.0,fruity:100|sweet:88|aromatic:74|lavender:61|fresh spicy:57
assignment_change,7-A,korea200,108962,Tamburins,Pumkini,GOURMAND,AMBER,1.0,fresh spicy:100|coconut:90|aromatic:87|sweet:77|green:71
assignment_change,7-A,korea200,23032,Clean,Cool Cotton,MUSK,GREEN,0.7812,powdery:100|citrus:89|green:54|aromatic:51|floral:44
assignment_change,7-A,korea200,12426,Prada,Prada Candy,GOURMAND,AMBER,0.8228,caramel:100|powdery:73|amber:51|sweet:50|vanilla:49
assignment_change,7-A,korea200,3865,Diptyque,Philosykos Eau de Parfum,GOURMAND,AMBER,0.8907,green:100|woody:75|sweet:45|fresh:40|fruity:35
assignment_change,7-A,korea200,2186,Montale,Chocolate Greedy,GOURMAND,AMBER,0.9417,vanilla:100|cacao:90|warm spicy:77|sweet:59|citrus:32
assignment_change,7-A,korea200,96192,Lalique,Soleil Lunar,FLORAL,AMBER,0.8755,floral:100|musky:93|citrus:64|white floral:63|powdery:61
assignment_change,7-A,korea200,39181,Mancera,Aoud Lemon Mint,GOURMAND,AMBER,1.0,citrus:100|aromatic:82|oud:80|almond:75|fresh spicy:52
assignment_change,7-A,korea200,37603,Nishane,Fan Your Flames,GOURMAND,AMBER,1.0,sweet:100|coconut:84|woody:80|tobacco:78|rum:64
assignment_change,7-A,korea200,93865,SW19,Midnight,MUSK,FLORAL,0.5903,powdery:100|musky:58|white floral:45|floral:33|fresh:27
assignment_change,7-A,korea200,95034,Youssoful,Saint Moritz,FRUITY,AMBER,0.8612,fruity:100|citrus:89|sweet:84|floral:81|fresh:38
assignment_change,7-A,korea200,116396,Montale,Be My Plum,FLORAL,AMBER,1.0,white floral:100|musky:94|tuberose:73|sweet:70|green:65
assignment_change,7-A,korea200,90739,Montale,Bubble Forever,CITRUS,AMBER,0.8631,citrus:100|white floral:80|sweet:56|musky:26|vanilla:26
assignment_change,7-A,korea200,50790,Essential Parfums,The Musc,MUSK,AMBER,0.8403,musky:100|powdery:69|lavender:53|beeswax:51|woody:45
assignment_change,7-A,korea200,98468,Adidas,Spark Up,CITRUS,AMBER,1.0,citrus:100|fresh spicy:47|aromatic:39|sweet:28|soft spicy:28
assignment_change,7-A,korea200,59392,Banana Republic,Dark Cherry & Amber,GOURMAND,AMBER,0.9409,sweet:100|floral:97|cherry:74|amber:69|nutty:48
assignment_change,7-A,korea200,122211,Narciso Rodriguez,Pure Musc Blanc For Her,MUSK,FLORAL,0.6974,white floral:100|fresh:82|musky:76|aldehydic:60|powdery:56
assignment_change,7-A,korea200,10728,Rance 1795,Helene,FLORAL,AMBER,0.8198,powdery:100|white floral:93|warm spicy:84|vanilla:69|woody:65
assignment_change,7-A,korea200,109565,Sennok,Soap Clean Soap,MUSK,FLORAL,0.6311,aldehydic:100|musky:100|fresh:62|powdery:60|soapy:30
assignment_change,7-A,korea200,42782,Mancera,Coco Vanille,GOURMAND,AMBER,0.9206,vanilla:100|sweet:85|coconut:77|white floral:73|powdery:37
assignment_change,7-A,korea200,16657,Versace,Eros,GREEN,AMBER,1.0,vanilla:100|aromatic:91|green:84|fresh spicy:52|amber:46
assignment_change,7-A,korea200,122669,Coach,Coach Cherry,GOURMAND,AMBER,1.0,sweet:100|cherry:95|white floral:84|vanilla:70|floral:70
assignment_change,7-A,korea200,76824,Sabrina Carpenter,Sweet Tooth,GOURMAND,AMBER,0.8732,sweet:100|vanilla:63|powdery:35|musky:18|lactonic:18
assignment_change,7-A,korea200,129391,Calvin Klein,CK One Night Essence,MUSK,GREEN,0.8043,powdery:100|woody:75|iris:67|green:62|musky:59
assignment_change,7-A,korea200,64015,Jimmy Choo,I Want Choo,FLORAL,AMBER,0.905,white floral:100|vanilla:68|fruity:53|sweet:37|powdery:34
assignment_change,7-A,korea200,95035,Youssoful,Berry Sexy,GOURMAND,AMBER,0.8771,fruity:100|sweet:80|vanilla:72|fresh:33|green:26
assignment_change,7-A,korea200,75969,Jimmy Choo,I Want Choo Forever,GOURMAND,AMBER,1.0,vanilla:100|sweet:86|almond:70|cherry:65|amber:54
assignment_change,7-A,korea200,64093,Nishane,Nanshe,MUSK,FLORAL,0.6885,powdery:100|floral:41|woody:36|warm spicy:35|musky:31
assignment_change,7-A,korea200,95156,Jimmy Choo,I Want Choo Le Parfum,GOURMAND,AMBER,1.0,sweet:100|fruity:92|white floral:60|woody:59|patchouli:39
assignment_change,7-A,korea200,31247,Narciso Rodriguez,Narciso Rodriguez for Him Bleu Noir,WOODY,AMBER,0.8979,woody:100|aromatic:69|warm spicy:68|musky:57|powdery:43
assignment_change,7-A,korea200,111273,Chloé,Chloé Le Parfum,FLORAL,AMBER,0.9549,vanilla:100|rose:81|white floral:73|sweet:56|citrus:41
assignment_change,7-A,korea200,68367,Ariana Grande,Thank U Next 2.0,FRUITY,AMBER,0.8719,fruity:100|sweet:86|woody:57|powdery:47|musky:26
assignment_change,7-A,korea200,815,Burberry,Touch for Men,AQUATIC,AMBER,0.903,fresh spicy:100|ozonic:83|musky:81|aquatic:61|woody:59
assignment_change,7-A,korea200,57384,Montale,Arabians Tonka,GOURMAND,AMBER,0.9473,sweet:100|vanilla:84|amber:80|oud:61|warm spicy:60
assignment_change,7-A,korea200,84224,Ex Nihilo,Blue Talisman,CITRUS,AMBER,0.922,citrus:100|fruity:58|musky:52|sweet:52|woody:47
assignment_change,7-A,korea200,39761,Lush,29 High Street,GOURMAND,AMBER,1.0,sweet:100|fruity:54|honey:35|green:30|caramel:13
assignment_change,7-A,korea200,52180,Versace,Eros Flame,CITRUS,AMBER,0.9425,citrus:100|fresh spicy:59|vanilla:58|aromatic:57|woody:47
assignment_change,7-A,korea200,89712,Jaguar,Jaguar Era Reloaded,GOURMAND,AMBER,0.9016,woody:100|amber:98|sweet:93|citrus:75|vanilla:60
